index,windspeed_m/s
674,2.0920022250622607
675,1.9406163682609074
676,1.6227435553675122
677,1.5052738084456516
678,1.3419646750997665
679,1.1624354506104448
680,1.0292256512947089
681,1.2092162220944018
682,1.8023112821528064
683,1.3162529349664382
684,1.0861948649058948
685,1.2351360611848974
686,1.972541320440486
687,2.146507505352306
688,2.1242599418282557
689,1.8065744338562868
690,1.6144091123606898
691,1.5252290925335406
692,1.159073621066506
693,0.6830424907688416
694,1.5093170236248108
695,1.755439416459927
696,1.451486119028924
697,1.4345506677394317
698,1.3398599056781106
699,1.7488489334970818
700,1.9666083354783197
701,1.91464417471172
702,1.9042505492444919
703,1.885668122997473
704,1.6779277978765583
705,1.1981095831514894
706,1.3198525495798947
707,1.2326583211837265
708,1.1892753163319214
709,1.2554349830977378
710,1.2426003963302272
711,1.6497636542479897
712,1.6605863301055874
713,1.7031193463083627
714,1.404957842013627
715,2.028559175642394
716,1.8804320155230643
717,1.5793391815652005
718,1.4594264773820746
719,1.5251087306434332
720,1.6876136978434855
721,1.5534410678906108
722,1.1074300485625195
723,1.5411375259144622
724,1.4696605450460865
725,1.5722618396107129
726,1.5391553392686186
727,1.7502157789847428
728,2.166452660382245
729,2.309600648009385
730,2.4825735250924685
731,2.4065247417819373
732,2.7795315584753397
733,2.885689803188209
734,2.823650572897742
735,3.121449300829259
736,2.650502093945893
737,2.383838132437832
738,2.3355003913206844
739,2.3293347983330848
740,2.6222342254304163
741,2.6532022978577436
742,2.6283258814397006
743,2.3120111266924384
744,2.1517150329706927
745,2.2787696249462064
746,2.5664277373364257
747,2.433825581762699
748,2.4993656223685274
749,3.0668683913417794
750,2.4954807676783055
751,2.85786562563358
752,2.644977724385188
753,1.925813989778944
754,2.2351318585272244
755,1.8994804552652669
756,2.1086451696238844
757,1.643262907189515
758,1.647365992121969
759,1.9177886129211719
760,1.8508811719328122
761,1.7756385775447712
762,1.532055784654583
763,1.5313608964404541
764,1.5784073303962742
765,1.3552473834826444
766,1.865861388265742
767,2.115074338774288
768,2.167940112680504
769,1.6580082147267023
770,1.9060411645578976
771,2.1844641797468007
772,2.054826341215406
773,1.41160351012865
774,1.1402943524594988
775,1.3029071400513337
776,1.0838117192749124
777,1.1210120495907936
778,1.007154757744229
779,1.1180925033298432
780,1.4044437518700785
